"By age ","By qualification of stay","PERIOD","Total","Male","Female",
"46 s","Religious Activities","2000 ","3","3","0",
"46 s","Religious Activities","2001 ","6","3","3",
"46 s","Religious Activities","2002 ","3","0","3",
"46 s","Religious Activities","2003 ","3","2","1",
"46 s","Religious Activities","2004 ","3","2","1",
"46 s","Religious Activities","2005 ","6","5","1",
"46 s","Religious Activities","2006 ","2","1","1",
"46 s","Religious Activities","2007 ","5","2","3",
"46 s","Religious Activities","2008 ","2","1","1",
"46 s","Religious Activities","2009 ","8","2","6",
"46 s","Religious Activities","2010 ","5","3","2",
"46 s","Religious Activities","2011 ","5","1","4",
"46 s","Religious Activities","2012 ","3","3","",
"46 s","Religious Activities","2013 ","3","2","1",
"46 s","Religious Activities","2014 ","4","4","0",
"46 s","Religious Activities","2015 ","8","6","2",
"46 s","Religious Activities","2016 ","6","3","3",
"46 s","Religious Activities","2017 ","3","0","3",
"46 s","Religious Activities","2018 ","2","2","0",
"46 s","Religious Activities","2019 ","4","2","2",
"46 s","Investors","2000 ","47","33","14",
"46 s","Investors","2001 ","45","32","13",
"46 s","Investors","2002 ","23","20","3",
"46 s","Investors","2003 ","34","29","5",
"46 s","Investors","2004 ","26","19","7",
"46 s","Investors","2005 ","37","30","7",
"46 s","Investors","2006 ","26","21","5",
"46 s","Investors","2007 ","25","23","2",
"46 s","Investors","2008 ","29","27","2",
"46 s","Investors","2009 ","24","21","3",
"46 s","Investors","2010 ","21","21","0",
"46 s","Investors","2011 ","30","26","4",
"46 s","Investors","2012 ","24","24","",
"46 s","Investors","2013 ","28","28","0",
"46 s","Investors","2014 ","19","18","1",
"46 s","Investors","2015 ","22","21","1",
"46 s","Investors","2016 ","22","21","1",
"46 s","Investors","2017 ","19","16","3",
"46 s","Investors","2018 ","20","19","1",
"46 s","Investors","2019 ","20","17","3",
"46 s","Trade and Business","2000 ","15","14","1",
"46 s","Trade and Business","2001 ","22","22","0",
"46 s","Trade and Business","2002 ","13","13","0",
"46 s","Trade and Business","2003 ","21","20","1",
"46 s","Trade and Business","2004 ","13","13","0",
"46 s","Trade and Business","2005 ","27","27","0",
"46 s","Trade and Business","2006 ","21","21","0",
"46 s","Trade and Business","2007 ","20","20","0",
"46 s","Trade and Business","2008 ","11","10","1",
"46 s","Trade and Business","2009 ","16","16","0",
"46 s","Trade and Business","2010 ","16","16","0",
"46 s","Trade and Business","2011 ","36","35","1",
"46 s","Trade and Business","2012 ","36","33","3",
"46 s","Trade and Business","2013 ","28","28","0",
"46 s","Trade and Business","2014 ","40","40","0",
"46 s","Trade and Business","2015 ","30","29","1",
"46 s","Trade and Business","2016 ","34","33","1",
"46 s","Trade and Business","2017 ","19","19","0",
"46 s","Trade and Business","2018 ","20","19","1",
"46 s","Trade and Business","2019 ","17","16","1",
"46 s","Research","2000 ","9","7","2",
"46 s","Research","2001 ","6","6","0",
"46 s","Research","2002 ","9","8","1",
"46 s","Research","2003 ","19","17","2",
"46 s","Research","2004 ","16","10","6",
"46 s","Research","2005 ","10","10","0",
"46 s","Research","2006 ","11","9","2",
"46 s","Research","2007 ","5","5","0",
"46 s","Research","2008 ","4","3","1",
"46 s","Research","2009 ","4","3","1",
"46 s","Research","2010 ","12","11","1",
"46 s","Research","2011 ","8","8","",
"46 s","Research","2012 ","5","4","1",
"46 s","Research","2013 ","7","7","0",
"46 s","Research","2014 ","5","4","1",
"46 s","Research","2015 ","3","3","0",
"46 s","Research","2016 ","11","10","1",
"46 s","Research","2017 ","3","3","0",
"46 s","Research","2018 ","6","5","1",
"46 s","Research","2019 ","4","3","1",
"46 s","Art and Entertainment","2000 ","8","7","1",
"46 s","Art and Entertainment","2001 ","15","15","0",
"46 s","Art and Entertainment","2002 ","14","11","3",
"46 s","Art and Entertainment","2003 ","15","13","2",
"46 s","Art and Entertainment","2004 ","6","5","1",
"46 s","Art and Entertainment","2005 ","11","9","2",
"46 s","Art and Entertainment","2006 ","15","12","3",
"46 s","Art and Entertainment","2007 ","14","12","2",
"46 s","Art and Entertainment","2008 ","13","11","2",
"46 s","Art and Entertainment","2009 ","7","7","0",
"46 s","Art and Entertainment","2010 ","13","12","1",
"46 s","Art and Entertainment","2011 ","8","8","",
"46 s","Art and Entertainment","2012 ","11","8","3",
"46 s","Art and Entertainment","2013 ","10","9","1",
"46 s","Art and Entertainment","2014 ","6","5","1",
"46 s","Art and Entertainment","2015 ","5","3","2",
"46 s","Art and Entertainment","2016 ","7","6","1",
"46 s","Art and Entertainment","2017 ","4","3","1",
"46 s","Art and Entertainment","2018 ","5","4","1",
"46 s","Art and Entertainment","2019 ","3","1","2",
"46 s","Unskilled Employment","2000 ","0","0","0",
"46 s","Unskilled Employment","2001 ","0","0","0",
"46 s","Unskilled Employment","2002 ","0","0","0",
"46 s","Unskilled Employment","2003 ","11","8","3",
"46 s","Unskilled Employment","2004 ","51","37","14",
"46 s","Unskilled Employment","2005 ","12","8","4",
"46 s","Unskilled Employment","2006 ","41","29","12",
"46 s","Unskilled Employment","2007 ","12","5","7",
"46 s","Unskilled Employment","2008 ","0","0","0",
"46 s","Unskilled Employment","2009 ","5","2","3",
"46 s","Unskilled Employment","2010 ","1","1","0",
"46 s","Unskilled Employment","2011 ","2","2","",
"46 s","Unskilled Employment","2012 ","4","3","1",
"46 s","Unskilled Employment","2013 ","10","10","0",
"46 s","Unskilled Employment","2015 ","5","5","0",
"46 s","Unskilled Employment","2016 ","6","6","0",
"46 s","Unskilled Employment","2017 ","5","5","0",
"46 s","Unskilled Employment","2018 ","7","7","0",
"46 s","Unskilled Employment","2019 ","9","9","0",
"46 s","Visiting and Joining Family","2000 ","56","5","51",
"46 s","Visiting and Joining Family","2001 ","92","6","86",
"46 s","Visiting and Joining Family","2002 ","109","27","82",
"46 s","Visiting and Joining Family","2003 ","480","266","214",
"46 s","Visiting and Joining Family","2004 ","711","371","340",
"46 s","Visiting and Joining Family","2005 ","1607","843","764",
"46 s","Visiting and Joining Family","2006 ","3056","1658","1398",
"46 s","Visiting and Joining Family","2007 ","447","237","210",
"46 s","Visiting and Joining Family","2008 ","17","7","10",
"46 s","Visiting and Joining Family","2009 ","35","17","18",
"46 s","Visiting and Joining Family","2010 ","59","29","30",
"46 s","Visiting and Joining Family","2011 ","51","23","28",
"46 s","Visiting and Joining Family","2012 ","62","15","47",
"46 s","Visiting and Joining Family","2013 ","81","17","64",
"46 s","Visiting and Joining Family","2014 ","164","32","132",
"46 s","Visiting and Joining Family","2015 ","223","59","164",
"46 s","Visiting and Joining Family","2016 ","392","143","249",
"46 s","Visiting and Joining Family","2017 ","348","119","229",
"46 s","Visiting and Joining Family","2018 ","404","151","253",
"46 s","Visiting and Joining Family","2019 ","428","149","279",
"46 s","Overseas Koreans","2000 ","16","8","8",
"46 s","Overseas Koreans","2001 ","35","13","22",
"46 s","Overseas Koreans","2002 ","44","22","22",
"46 s","Overseas Koreans","2003 ","38","18","20",
"46 s","Overseas Koreans","2004 ","43","20","23",
"46 s","Overseas Koreans","2005 ","46","17","29",
"46 s","Overseas Koreans","2006 ","50","22","28",
"46 s","Overseas Koreans","2007 ","47","18","29",
"46 s","Overseas Koreans","2008 ","49","20","29",
"46 s","Overseas Koreans","2009 ","57","18","39",
"46 s","Overseas Koreans","2010 ","275","113","162",
"46 s","Overseas Koreans","2011 ","293","135","158",
"46 s","Overseas Koreans","2012 ","220","108","112",
"46 s","Overseas Koreans","2013 ","234","115","119",
"46 s","Overseas Koreans","2014 ","276","119","157",
"46 s","Overseas Koreans","2015 ","356","199","157",
"46 s","Overseas Koreans","2016 ","484","249","235",
"46 s","Overseas Koreans","2017 ","579","304","275",
"46 s","Overseas Koreans","2018 ","605","336","269",
"46 s","Overseas Koreans","2019 ","577","301","276",
"46 s","Permanent Residence","2000 ","0","0","0",
"46 s","Permanent Residence","2001 ","0","0","0",
"46 s","Permanent Residence","2002 ","0","0","0",
"46 s","Permanent Residence","2003 ","5","3","2",
"46 s","Permanent Residence","2004 ","9","5","4",
"46 s","Permanent Residence","2005 ","10","5","5",
"46 s","Permanent Residence","2006 ","6","5","1",
"46 s","Permanent Residence","2007 ","7","4","3",
"46 s","Permanent Residence","2008 ","6","4","2",
"46 s","Permanent Residence","2009 ","11","4","7",
"46 s","Permanent Residence","2010 ","20","10","10",
"46 s","Permanent Residence","2011 ","68","26","42",
"46 s","Permanent Residence","2012 ","86","34","52",
"46 s","Permanent Residence","2013 ","93","36","57",
"46 s","Permanent Residence","2014 ","92","41","51",
"46 s","Permanent Residence","2015 ","133","55","78",
"46 s","Permanent Residence","2016 ","141","58","83",
"46 s","Permanent Residence","2017 ","144","66","78",
"46 s","Permanent Residence","2018 ","134","57","77",
"46 s","Permanent Residence","2019 ","146","56","90",
"46 s","Marriage Immigration","2011 ","7","2","5",
"46 s","Marriage Immigration","2012 ","161","44","117",
"46 s","Marriage Immigration","2013 ","126","33","93",
"46 s","Marriage Immigration","2014 ","142","34","108",
"46 s","Marriage Immigration","2015 ","102","26","76",
"46 s","Marriage Immigration","2016 ","114","33","81",
"46 s","Marriage Immigration","2017 ","102","32","70",
"46 s","Marriage Immigration","2018 ","133","39","94",
"46 s","Marriage Immigration","2019 ","127","35","92",
"47 s","Total","2000 ","1607","926","681",
"47 s","Total","2001 ","1863","1090","773",
"47 s","Total","2002 ","1911","1135","776",
"47 s","Total","2003 ","2127","1158","969",
"47 s","Total","2004 ","2614","1336","1278",
"47 s","Total","2005 ","3780","1842","1938",
"47 s","Total","2006 ","4077","2194","1883",
"47 s","Total","2007 ","5118","2621","2497",
"47 s","Total","2008 ","3852","1975","1877",
"47 s","Total","2009 ","2717","1351","1366",
"47 s","Total","2010 ","6163","3044","3119",
"47 s","Total","2011 ","4615","2233","2382",
"47 s","Total","2012 ","3481","1631","1850",
"47 s","Total","2013 ","5306","2624","2682",
"47 s","Total","2014 ","5605","2991","2614",
"47 s","Total","2015 ","4817","2424","2393",
"47 s","Total","2016 ","5232","2681","2551",
"47 s","Total","2017 ","5885","3192","2693",
"47 s","Total","2018 ","6373","3493","2880",
"47 s","Total","2019 ","5177","2645","2532",
"47 s","Sightseeing Pass","2000 ","212","120","92",
"47 s","Sightseeing Pass","2001 ","307","205","102",
"47 s","Sightseeing Pass","2002 ","364","225","139",
"47 s","Sightseeing Pass","2003 ","308","193","115",
"47 s","Sightseeing Pass","2004 ","321","201","120",
"47 s","Sightseeing Pass","2005 ","286","189","97",
"47 s","Sightseeing Pass","2006 ","217","139","78",
"47 s","Sightseeing Pass","2007 ","169","93","76",
"47 s","Sightseeing Pass","2008 ","210","133","77",
"47 s","Sightseeing Pass","2009 ","229","128","101",
"47 s","Sightseeing Pass","2010 ","303","172","131",
"47 s","Sightseeing Pass","2011 ","220","117","103",
"47 s","Sightseeing Pass","2012 ","233","119","114",
"47 s","Sightseeing Pass","2013 ","166","92","74",
"47 s","Sightseeing Pass","2014 ","223","124","99",
"47 s","Sightseeing Pass","2015 ","309","169","140",
"47 s","Sightseeing Pass","2016 ","305","147","158",
"47 s","Sightseeing Pass","2017 ","414","246","168",
"47 s","Sightseeing Pass","2018 ","684","453","231",
"47 s","Sightseeing Pass","2019 ","359","167","192",
"47 s","Short-term Business","2000 ","251","173","78",
"47 s","Short-term Business","2001 ","274","199","75",
"47 s","Short-term Business","2002 ","174","135","39",
"47 s","Short-term Business","2003 ","145","107","38",
"47 s","Short-term Business","2004 ","122","99","23",
"47 s","Short-term Business","2005 ","125","85","40",
"47 s","Short-term Business","2006 ","151","118","33",
"47 s","Short-term Business","2007 ","208","164","44",
"47 s","Short-term Business","2008 ","103","85","18",
"47 s","Short-term Business","2009 ","45","36","9",
"47 s","Short-term Business","2010 ","45","39","6",
"47 s","Short-term Business","2011 ","49","40","9",
"47 s","Short-term Visitors","2000 ","677","335","342",
"47 s","Short-term Visitors","2001 ","754","367","387",
"47 s","Short-term Visitors","2002 ","721","387","334",
"47 s","Short-term Visitors","2003 ","592","299","293",
"47 s","Short-term Visitors","2004 ","525","281","244",
"47 s","Short-term Visitors","2005 ","595","263","332",
"47 s","Short-term Visitors","2006 ","491","247","244",
"47 s","Short-term Visitors","2007 ","437","204","233",
"47 s","Short-term Visitors","2008 ","330","141","189",
"47 s","Short-term Visitors","2009 ","296","115","181",
"47 s","Short-term Visitors","2010 ","2084","966","1118",
"47 s","Short-term Visitors","2011 ","1868","866","1002",
"47 s","Short-term Visitors","2012 ","1315","555","760",
"47 s","Short-term Visitors","2013 ","1906","886","1020",
"47 s","Short-term Visitors","2014 ","1308","691","617",
"47 s","Short-term Visitors","2015 ","1410","729","681",
"47 s","Short-term Visitors","2016 ","1560","869","691",
"47 s","Short-term Visitors","2017 ","1486","877","609",
"47 s","Short-term Visitors","2018 ","1429","764","665",
"47 s","Short-term Visitors","2019 ","1260","680","580",
"47 s","Short-term Employment","2000 ","2","2","0",
"47 s","Short-term Employment","2001 ","4","2","2",
"47 s","Short-term Employment","2002 ","2","2","0",
"47 s","Short-term Employment","2003 ","1","1","0",
"47 s","Short-term Employment","2004 ","1","1","0",
"47 s","Short-term Employment","2005 ","2","1","1",
"47 s","Short-term Employment","2006 ","2","2","0",
"47 s","Short-term Employment","2007 ","3","2","1",
"47 s","Short-term Employment","2008 ","1","1","0",
"47 s","Short-term Employment","2009 ","1","1","0",
"47 s","Short-term Employment","2010 ","0","0","0",
"47 s","Short-term Employment","2011 ","1","1","",
"47 s","Short-term Employment","2012 ","2","1","1",
"47 s","Short-term Employment","2013 ","1","1","0",
"47 s","Short-term Employment","2014 ","1","1","0",
"47 s","Short-term Employment","2015 ","1","1","0",
"47 s","Short-term Employment","2016 ","6","6","0",
"47 s","Short-term Employment","2017 ","1","1","0",
"47 s","Short-term Employment","2018 ","3","3","0",
"47 s","Short-term Employment","2019 ","4","3","1",
"47 s","Job Seeking","2000 ","0","0","0",
"47 s","Job Seeking","2001 ","0","0","0",
"47 s","Job Seeking","2002 ","0","0","0",
"47 s","Job Seeking","2003 ","0","0","0",
"47 s","Job Seeking","2004 ","0","0","0",
"47 s","Job Seeking","2005 ","0","0","0",
"47 s","Job Seeking","2006 ","0","0","0",
"47 s","Job Seeking","2007 ","0","0","0",
"47 s","Job Seeking","2008 ","0","0","0",
"47 s","Job Seeking","2009 ","0","0","0",
"47 s","Job Seeking","2010 ","0","0","0",
"47 s","Job Seeking","2015 ","1","1","0",
"47 s","Job Seeking","2016 ","1","0","1",
"47 s","Job Seeking","2017 ","1","1","0",
"47 s","study","2000 ","2","1","1",
"47 s","study","2001 ","4","2","2",
"47 s","study","2002 ","2","2","0",
"47 s","study","2003 ","5","4","1",
"47 s","study","2004 ","6","4","2",
"47 s","study","2005 ","7","7","0",
"47 s","study","2006 ","6","4","2",
"47 s","study","2007 ","4","4","0",
"47 s","study","2008 ","2","1","1",
"47 s","study","2009 ","5","2","3",
"47 s","study","2010 ","7","7","0",
"47 s","study","2011 ","8","7","1",
"47 s","study","2012 ","6","5","1",
"47 s","study","2013 ","5","3","2",
"47 s","study","2014 ","3","2","1",
"47 s","study","2015 ","6","5","1",
"47 s","study","2016 ","7","3","4",
"47 s","study","2017 ","8","6","2",
"47 s","study","2018 ","6","4","2",
"47 s","study","2019 ","8","5","3",
"47 s","General Trainees","2000 ","3","2","1",
"47 s","General Trainees","2001 ","2","2","0",
"47 s","General Trainees","2002 ","3","2","1",
"47 s","General Trainees","2003 ","2","0","2",
"47 s","General Trainees","2004 ","1","1","0",
"47 s","General Trainees","2005 ","3","2","1",
"47 s","General Trainees","2006 ","1","1","0",
"47 s","General Trainees","2007 ","7","5","2",
"47 s","General Trainees","2008 ","9","7","2",
"47 s","General Trainees","2009 ","0","0","0",
"47 s","General Trainees","2010 ","7","3","4",
"47 s","General Trainees","2011 ","36","17","19",
"47 s","General Trainees","2013 ","6","3","3",
"47 s","General Trainees","2014 ","7","5","2",
"47 s","General Trainees","2015 ","5","2","3",
"47 s","General Trainees","2016 ","7","5","2",
"47 s","General Trainees","2017 ","6","3","3",
"47 s","General Trainees","2018 ","10","6","4",
"47 s","General Trainees","2019 ","5","3","2",
"47 s","Religious Activities","2000 ","1","0","1",
